STATION_ID,ABBREVIATION,FUNCTION,YEAR,MONTH,DECADE,VALUE
RIAI99PA,HATMX,MAX,2010,11,0,11
RIAI99PA,HATMX,MAX,2010,12,0,2.1
RIAI99PA,HATMX,MAX,2011,1,0,3.5
RIAI99PA,HATMX,MAX,2011,2,0,2.7
RIAI99PA,HATMX,MAX,2011,3,0,7.4
RIAI99PA,HATMX,MAX,2011,4,0,18.2
RIAI99PA,HATMX,MAX,2011,5,0,27.3
RIAI99PA,HATMX,MAX,2011,6,0,30.5
RIAI99PA,HATMX,MAX,2011,7,0, 
RIAI99PA,HATMX,MAX,2011,8,0, 
RIAI99PA,HATMX,MAX,2011,9,0, 
RIAI99PA,HATMX,MAX,2011,10,0, 
RIAI99PA,HATMX,MAX,2011,11,0,10.4
RIAI99PA,HATMX,MAX,2011,12,0,8.3
RIAI99PA,HATMX,MAX,2012,1,0,5.1
RIAI99PA,HATMX,MAX,2012,2,0,2.9
RIAI99PA,HATMX,MAX,2012,3,0,6.4
RIAI99PA,HATMX,MAX,2012,4,0,18.2
RIAI99PA,HATMX,MAX,2012,5,0,24.8
RIAI99PA,HATMX,MAX,2012,6,0,23.3
RIAI99PA,HATMX,MAX,2012,7,0,31.5
RIAI99PA,HATMX,MAX,2012,8,0,26.1
RIAI99PA,HATMX,MAX,2012,9,0,21.5
RIAI99PA,HATMX,MAX,2012,10,0,14.6
RIAI99PA,HATMX,MAX,2012,11,0,9
RIAI99PA,HATMX,MAX,2012,12,0, 
RIAI99PA,HATMX,MAX,2013,1,0,4
RIAI99PA,HATMX,MAX,2013,2,0,3
RIAI99PA,HATMX,MAX,2013,3,0,3
RIAI99PA,HATMX,MAX,2013,4,0,17.6
RIAI99PA,HATMX,MAX,2013,5,0, 
RIAI99PA,HATMX,MAX,2013,6,0,29.8
RIAI99PA,HATMX,MAX,2013,7,0,27.8
RIAI99PA,HATMX,MAX,2013,8,0,29.6
RIAI99PA,HATMX,MAX,2013,9,0,22
RIAI99PA,HATMX,MAX,2013,10,0,15.6
RIAI99PA,HATMX,MAX,2013,11,0,9.7
RIAI99PA,HATMX,MAX,2013,12,0,7.6
RIAI99PA,HATMX,MAX,2014,1,0,6.6
RIAI99PA,HATMX,MAX,2014,2,0,7.6
RIAI99PA,HATMX,MAX,2014,3,0,13.4
RIAI99PA,HATMX,MAX,2014,4,0,23.1
RIAI99PA,HATMX,MAX,2014,5,0,29.8
RIAI99PA,HATMX,MAX,2014,6,0,27.8
RIAI99PA,HATMX,MAX,2014,7,0,30.6
RIAI99PA,HATMX,MAX,2014,8,0,32.8
RIAI99PA,HATMX,MAX,2014,9,0,24.1
RIAI99PA,HATMX,MAX,2014,10,0,15
RIAI99PA,HATMX,MAX,2014,11,0,11.9
RIAI99PA,HATMX,MAX,2014,12,0,6.4
RIAI99PA,HATMX,MAX,2015,1,0,5.7
RIAI99PA,HATMX,MAX,2015,2,0,6.5
RIAI99PA,HATMX,MAX,2015,3,0,15.2
RIAI99PA,HATMX,MAX,2015,4,0,17.8
RIAI99PA,HATMX,MAX,2015,5,0,20.9
RIAI99PA,HATMX,MAX,2015,6,0,22.8
RIAI99PA,HATMX,MAX,2015,7,0,24.9
RIAI99PA,HATMX,MAX,2015,8,0,30.2
RIAI99PA,HATMX,MAX,2015,9,0,24.9
RIAI99PA,HATMX,MAX,2015,10,0,16.9
RIAI99PA,HATMX,MAX,2015,11,0,10.9
RIAI99PA,HATMX,MAX,2015,12,0,9.6
RIAI99PA,HATMX,MAX,2016,1,0,5.4
RIAI99PA,HATMX,MAX,2016,2,0,7.8
RIAI99PA,HATMX,MAX,2016,3,0,15.7
RIAI99PA,HATMX,MAX,2016,4,0,19.4
RIAI99PA,HATMX,MAX,2016,5,0,28.3
RIAI99PA,HATMX,MAX,2016,6,0,30.4
RIAI99PA,HATMX,MAX,2016,7,0,28.4
RIAI99PA,HATMX,MAX,2016,8,0,27.8
RIAI99PA,HATMX,MAX,2016,9,0, 
RIAI99PA,HATMX,MAX,2016,10,0,15.6
RIAI99PA,HATMX,MAX,2016,11,0,8.8
RIAI99PA,HATMX,MAX,2016,12,0,6.8
RIAI99PA,HATMX,MAX,2017,1,0,5.3
RIAI99PA,HATMX,MAX,2017,2,0,7.5
RIAI99PA,HATMX,MAX,2017,3,0,5.7
RIAI99PA,HATMX,MAX,2017,4,0,16.3
RIAI99PA,HATMX,MAX,2017,5,0,24.5
RIAI99PA,HATMX,MAX,2017,6,0,23.1
RIAI99PA,HATMX,MAX,2017,7,0,25.6
RIAI99PA,HATMX,MAX,2017,8,0,31.7
RIAI99PA,HATMX,MAX,2017,9,0,20.3
RIAI99PA,HATMX,MAX,2017,10,0,13.7
RIAI99PA,HATMX,MAX,2017,11,0,9
RIAI99PA,HATMX,MAX,2017,12,0, 
RIAI99PA,HATMX,MAX,2018,1,0,6
RIAI99PA,HATMX,MAX,2018,2,0,2
RIAI99PA,HATMX,MAX,2018,3,0,6.7
RIAI99PA,HATMX,MAX,2018,4,0,21.2
RIAI99PA,HATMX,MAX,2018,5,0,29.3
RIAI99PA,HATMX,MAX,2018,6,0,23.8
RIAI99PA,HATMX,MAX,2018,7,0,33.7
RIAI99PA,HATMX,MAX,2018,8,0,31.1
RIAI99PA,HATMX,MAX,2018,9,0,26.5
RIAI99PA,HATMX,MAX,2018,10,0, 
RIAI99PA,HATMX,MAX,2018,11,0, 
RIAI99PA,HATMX,MAX,2018,12,0, 
RIAI99PA,HATMX,MAX,2019,1,0, 
RIAI99PA,HATMX,MAX,2019,2,0,7.1
RIAI99PA,HATMX,MAX,2019,3,0, 
RIAI99PA,HATMX,MAX,2019,4,0,23.8
RIAI99PA,HATMX,MAX,2019,5,0,28
RIAI99PA,HATMX,MAX,2019,6,0, 
RIAI99PA,HATMX,MAX,2019,7,0,29.5
RIAI99PA,HATMX,MAX,2019,8,0, 
RIAI99PA,HATMX,MAX,2019,9,0,26.7
RIAI99PA,HATMX,MAX,2019,10,0, 
RIAI99PA,HATMX,MAX,2019,11,0,12.7
RIAI99PA,HATMX,MAX,2019,12,0, 
RIAI99PA,HATMX,MAX,2020,1,0,7.7
RIAI99PA,HATMX,MAX,2020,2,0,8.7
RIAI99PA,HATMX,MAX,2020,3,0,11.7
RIAI99PA,HATMX,MAX,2020,4,0,17.4
RIAI99PA,HATMX,MAX,2020,5,0, 
RIAI99PA,HATMX,MAX,2020,6,0,29.8
RIAI99PA,HATMX,MAX,2020,7,0,26.7
RIAI99PA,HATMX,MAX,2020,8,0,24.7
RIAI99PA,HATMX,MAX,2020,9,0,23.7
RIAI99PA,HATMX,MAX,2020,10,0,20.8
RIAI99PA,HATMX,MAX,2020,11,0, 
RIAI99PA,HATMX,MAX,2020,12,0,6.6
RIAI99PA,HATMX,MAX,2021,1,0,6.1
RIAI99PA,HATMX,MAX,2021,2,0,6.6
RIAI99PA,HATMX,MAX,2021,3,0,14.4
RIAI99PA,HATMX,MAX,2021,4,0,18.7
RIAI99PA,HATMX,MAX,2021,5,0,28.1
RIAI99PA,HATMX,MAX,2021,6,0, 
RIAI99PA,HATMX,MAX,2021,7,0,31.6
RIAI99PA,HATMX,MAX,2021,8,0,24.3
RIAI99PA,HATMX,MAX,2021,9,0,21
RIAI99PA,HATMX,MAX,2021,10,0, 
